招生信息,,,,,,,,,2024年,,,2023年,,,2022年,,,2021年,,,2020年,,
批次,院校代码,院校名称,专业代码,专业名称,计划人数,学费,学制,选科要求,专业名称2024,投档计划数2024,最低位次2024,专业名称2023,投档计划数2023,最低位次2023,专业名称2022,投档计划数2022,最低位次2022,投档计划数2021,最低位次2021,专业名称2021,投档计划数2020,最低位次2020,专业名称2020
本科提前批,A390,集美大学,8,船舶电子电气工程(不适合女生报考。双眼裸视力4.6(0.4)及以上，或双眼裸视力4.0(0.1)及以上且矫正视力均能达4.6(0.4)及以上；无色盲；身高155cm及以上),6,5460,4,物理和化学,,,,船舶与海洋工程,3,62605,船舶与海洋工程,3,59682,3,51516,船舶与海洋工程,4,46029,船舶与海洋工程
本科提前批,A497,武汉理工大学,10,轮机工程(工作性质特殊，不适宜女生报考，要求考生身高1.65米及以上，无色盲(色弱)、无复视，听力、嗅觉正常，四肢健全。要求考生双眼裸视力均能达到4.6(0.4)及以上；或双眼裸视力均能达到4.0(0.1)及以上，且矫正视力均能达到4.6(0.4)及以上。未尽事宜见招生章程),14,3375,4,物理和化学,,,,,,,材料成型及控制工程,9,25174,4,17383,建筑类,7,17413,能源与动力工程
本科提前批,A497,武汉理工大学,23,航海技术(工作性质特殊，不适宜女生报考，要求考生身高1.65米及以上，无色盲(色弱)、无复视，听力、嗅觉正常，四肢健全。要求考生双眼裸视力均能达到4.7(0.5)及以上；或双眼裸视力均能达到4.0(0.1)及以上，且矫正视力均能达到4.8(0.6)及以上。未尽事宜见招生章程),14,3375,4,物理和化学,,,,,,,应用化学,6,20579,6,18937,应用化学,13,16211,自动化
本科提前批,A618,重庆交通大学,17,轮机工程,4,6230,4,物理和化学,,,,船舶与海洋工程,3,58941,船舶与海洋工程,4,61739,,,,,,
本科提前批,A618,重庆交通大学,18,航海技术,4,6230,4,物理和化学,,,,建筑类,3,59481,建筑类,3,53284,3,51822,船舶与海洋工程,3,47611,船舶与海洋工程
本科提前批,A618,重庆交通大学,19,船舶电子电气工程,4,5580,4,物理和化学,,,,电子信息类,3,37210,电子信息类,3,41933,5,49474,建筑类,,,
本科提前批,B066,烟台大学,48,轮机工程(男生)(只招男生，因专业培养需要，非英语语种考生慎重报考),70,5500,4,物理和化学,,,,,,,,,,40,109302,环境科学与工程,75,109768,环境科学与工程
本科提前批,B100,海南热带海洋学院,69,船舶电子电气工程(无红绿色盲，无复视，身高155cm及以上，双眼裸视力均能达到4.6(0.4)及以上；或双眼裸视力均能达到4.0(0.1)及以上，且矫正视力均能达到4.6(0.4)及以上),3,4620,4,物理和化学,,,,食品质量与安全,2,206660,,,,,,,2,173145,海事管理
本科提前批,B607,北部湾大学,8,航海技术(要求男生身高1.60米及以上，女生身高1.55米及以上；辨色力正常(无色盲无色弱)，无复视；双眼裸视力均能达到4.7(0.5)及以上，或双眼裸视力均能达到4.0(0.1)及以上且矫正视力均能达到4.8(0.6)及以上，由于工作性质特殊，建议女生慎重报考),6,4600,4,物理和化学,,,,,,,金融工程,3,155723,,,,1,135907,金融工程
本科提前批,B646,宁波大学,72,航海技术(梅山校区),8,6000,4,物理和化学,,,,,,,,,,1,30493,环境工程,,,
本科提前批,E172,海南科技职业大学,1N,航海技术(身高要求160cm及以上。双眼裸视力均能达到0.5以上；或双眼裸视力均能达到0.1以上，且矫正视力均能达到0.8及以上),4,35900,4,不限,,,,,,,口腔医学技术,4,493294,3,222745,应用化工技术,2,228269,护理
本科提前批,A449,山东航空学院,12,飞行技术(驾驶方向，需面试、体检、背景调查均合格)(因学校培养需要，安排英语语种教学，其他语种慎报),35,11500,4,物理和化学,,,,,,,市场营销(校企合作，与中软创新国际信息研究院合作),40,204072,26,119162,汉语言文学(师范类),19,127747,汉语言文学(师范类)
