中国农业大学,数学与应用数学,"['数学', '与', '应用', '数学']",3
中国农业大学,工程力学,['工程力学'],2
中国农业大学,经济学类,"['经济学', '类']",4
中国农业大学,法学,['法学'],3
中国农业大学,社会学类,"['社会学', '类']",3
中国农业大学,英语,['英语'],2
中国农业大学,传播学,['传播学'],2
中国农业大学,农村区域发展,"['农村', '区域', '发展']",2
中国农业大学,水产养殖学,"['水产', '养殖', '学']",72
中国农业大学,设施农业科学与工程,"['设施', '农业', '科学', '与', '工程']",74
中国农业大学,市场营销,['市场营销'],109
中国农业大学,公共事业管理,"['公共事业', '管理']",80
中国农业大学,电子商务,['电子商务'],90
中国农业大学,葡萄与葡萄酒工程,"['葡萄', '与', '葡萄酒', '工程']",60
中国农业大学,理科试验班类(生命科学),"['理科', '试验班', '类', '(', '生命科学', ')']",2
中国农业大学,理科试验班(信息科学),"['理科', '试验班', '(', '信息科学', ')']",2
中国农业大学,园艺,['园艺'],2
中国农业大学,植物保护,['植物保护'],3
中国农业大学,环境科学与工程类,"['环境', '科学', '与', '工程', '类']",4
中国农业大学,动物科学,"['动物', '科学']",3
中国农业大学,动物医学类,"['动物', '医学类']",4
中国农业大学,农业工程类,"['农业', '工程', '类']",3
中国农业大学,机械类,['机械类'],4
中国农业大学,水利类,"['水利', '类']",2
中国农业大学,化学类,"['化学', '类']",3
中国农业大学,地理科学类,"['地理', '科学', '类']",4
中国农业大学,工商管理类,"['工商管理', '类']",5
中国农业大学,国际经济与贸易(中外合作办学),"['国际', '经济', '与', '贸易', '(', '中外合作', '办学', ')']",5
中国农业大学,传播学(中外合作办学),"['传播学', '(', '中外合作', '办学', ')']",4
中国农业大学,农林经济管理(中外合作办学),"['农林', '经济', '管理', '(', '中外合作', '办学', ')']",6
北京农学院,生物工程,['生物工程'],2
北京农学院,应用化学,['应用化学'],2
北京农学院,农业资源与环境,"['农业', '资源', '与', '环境']",2
北京农学院,园艺,['园艺'],2
北京农学院,动物医学,"['动物', '医学']",2
北京农学院,食品科学与工程,"['食品科学', '与', '工程']",4
北京农学院,食品质量与安全,"['食品质量', '与', '安全']",4
北京农学院,酿酒工程,"['酿酒', '工程']",2
北京农学院,法学,['法学'],2
北京农学院,社会工作,['社会工作'],2
北京农学院,农村区域发展(规划),"['农村', '区域', '发展', '(', '规划', ')']",2
北京农学院,会展经济与管理(策划与设计),"['会展经济', '与', '管理', '(', '策划', '与', '设计', ')']",2
北京农学院,投资学,"['投资', '学']",2
北京农学院,工商管理(品牌管理),"['工商管理', '(', '品牌', '管理', ')']",2
北京农学院,食品科学与工程(中外合作办学),"['食品科学', '与', '工程', '(', '中外合作', '办学', ')']",2
北京农学院,农业资源与环境(中外合作办学),"['农业', '资源', '与', '环境', '(', '中外合作', '办学', ')']",3
北京林业大学,水土保持与荒漠化防治,"['水土保持', '与', '荒漠化', '防治']",3
北京林业大学,自然地理与资源环境,"['自然地理', '与', '资源', '环境']",3
