青岛恒星科技学院,电气工程及其自动化,"['电气工程', '及其', '自动化']",5
青岛恒星科技学院,车辆工程,"['车辆', '工程']",7
青岛恒星科技学院,机器人工程,"['机器人', '工程']",36
青岛恒星科技学院,软件工程,['软件工程'],47
青岛恒星科技学院,网络工程,['网络工程'],43
青岛恒星科技学院,人工智能,['人工智能'],30
青岛恒星科技学院,土木工程,['土木工程'],22
青岛恒星科技学院,种子科学与工程,"['种子', '科学', '与', '工程']",42
青岛恒星科技学院,智慧农业,"['智慧', '农业']",17
青岛恒星科技学院,印刷工程,"['印刷', '工程']",37
青岛恒星科技学院,智能装备与系统,"['智能', '装备', '与', '系统']",24
大连理工大学城市学院,物联网工程,"['物', '联网', '工程']",1
武汉城市学院,会计学,['会计学'],2
武汉城市学院,工程造价,['工程造价'],1
武汉城市学院,电气工程及其自动化,"['电气工程', '及其', '自动化']",1
武汉工程大学邮电与信息工程学院,土木工程(道路与桥梁工程方向),"['土木工程', '(', '道路', '与', '桥梁工程', '方向', ')']",3
武汉工程大学邮电与信息工程学院,制药工程(生物医药方向),"['制药', '工程', '(', '生物医药', '方向', ')']",2
荆州学院,计算机科学与技术,"['计算机科学', '与', '技术']",2
黑龙江工程学院昆仑旅游学院,计算机科学与技术,"['计算机科学', '与', '技术']",14
青岛黄海学院,机械设计制造及其自动化,"['机械设计', '制造', '及其', '自动化']",18
青岛黄海学院,车辆工程,"['车辆', '工程']",11
青岛黄海学院,智能制造工程,"['智能', '制造', '工程']",48
青岛黄海学院,智能交互设计,"['智能', '交互', '设计']",13
青岛黄海学院,电气工程及其自动化,"['电气工程', '及其', '自动化']",1
青岛黄海学院,电子信息工程,"['电子', '信息工程']",37
青岛黄海学院,人工智能,['人工智能'],29
青岛黄海学院,机器人工程,"['机器人', '工程']",48
青岛黄海学院,计算机科学与技术,"['计算机科学', '与', '技术']",53
青岛黄海学院,物联网工程,"['物', '联网', '工程']",24
